,Year,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2007,0.004552352048558422,904,920.0,0.008017849915974429,0.004552352048558417,0.008268633262748626,0.0013860149894384666,0.018242686465232083
1,2008,0.0018963337547408343,840,920.0,0.007536155206167239,0.004263216524319491,0.009063592242175789,0.0018963337547408532,0.016344909305421318
2,2009,0.009858551221603087,860,908.0,0.007054460496359938,0.003974081000080565,0.009858551221603173,0.00240665252004324,0.014447132145610109
3,2010,0.0037105751391465678,828,848.0,0.006572765786552748,0.003684945475841639,0.010653510201030336,0.0029169712853456264,0.012549354985799344
4,2011,0.01129305477131564,808,820.0,0.006091071076745558,0.003395809951602713,0.011448469180457499,0.003427290050648013,0.010651577825988134
5,2012,0.012243428159884768,816,784.0,0.005609376366938257,0.003106674427363787,0.012243428159884884,0.0039376088159504,0.00875380066617737
6,2013,0.0068560235063663075,808,696.0,0.005127681657131067,0.002817538903124861,0.013038387139312047,0.004447927581253008,0.00685602350636616
7,2014,0.004958246346555324,792,656.0,0.004645986947323877,0.002528403378885935,0.01383334611873921,0.004958246346555395,0.004958246346555395
8,2015,0.005438477226376614,812,584.0,0.004164292237516576,0.002239267854647009,0.014628305098166372,0.005468565111857782,0.0030604691867441858
9,2016,0.001950132330408135,724,516.0,0.003682597527709386,0.001950132330408083,0.015423264077593757,0.005978883877160168,0.0011626920269334207
10,2017,0.0035836028319202865,752,476.0,0.003200902817902196,0.0016609968061692681,0.01621822305702092,0.006489202642462555,-0.0007350851328777885
11,2018,0.0011693952555963916,668,356.0,0.002719208108094895,0.0013718612819303422,0.017013182036448082,0.0069995214077649415,-0.0026328622926885537
12,2019,0.0008635578583765112,756,288.0,0.002237513398287705,0.0010827257576914162,0.017808141015875467,0.007509840173067328,-0.004530639452499763
13,2020,0.0005703880832766601,736,200.0,0.001755818688480515,0.0007935902334524902,0.01860309999530263,0.008020158938369715,-0.006428416612310528
14,2021,0.0007456856757332576,728,124.0,0.001274123978673214,0.0005044547092135643,0.019398058974729793,0.008530477703672323,-0.008326193772121737
