,unique_values,counts
0,California,242
1,Texas,162
2,Illinois,105
3,Missouri,96
4,Arkansas,93
5,Arizona,88
6,Nevada,87
7,New Mexico,83
8,Wisconsin,82
9,Virginia,81
10,North Carolina,79
11,Colorado,79
12,New York,78
13,Idaho,77
14,British Columbia,76
15,North Dakota,75
16,Tennessee,75
17,Oregon,74
18,Oklahoma,74
19,Alabama,73
20,Michigan,73
21,Montana,72
22,Kansas,71
23,Washington,71
24,Florida,71
25,Minnesota,66
26,Utah,66
27,Ohio,65
28,Mississippi,65
29,Maryland,64
30,Kentucky,64
31,South Dakota,63
32,Louisiana,62
33,Vermont,60
34,Delaware,59
35,Nebraska,56
36,Georgia,56
37,Indiana,54
38,Massachusetts,54
39,Pennsylvania,53
40,Manitoba,53
41,Ontario,53
42,Wyoming,52
43,Iowa,49
44,New Jersey,47
45,South Carolina,45
46,Maine,39
47,Washington D.C.,38
48,West Virginia,35
49,Alberta,32
50,Connecticut,32
51,Saskatchewan,31
52,New Hampshire,27
53,Rhode Island,23
54,Quebec,17
