state,frequency
Wisconsin,4
Montana,27
Saskatchewan,25
Colorado,87
Manitoba,13
Nebraska,14
Massachusetts,30
New York,32
North Carolina,3
Ontario,59
California,16
Alberta,51
South Dakota,10
Michigan,20
New Hampshire,60
Oregon,1
Pennsylvania,23
Kentucky,3
Iowa,15
Kansas,4
New Mexico,20
Maryland,5
Ohio,27
Illinois,16
Maine,10
North Dakota,3
Quebec,19
Idaho,1
Vermont,48
Minnesota,37
New Jersey,4
British Columbia,22
Rhode Island,3
Arizona,4
Wyoming,3
Connecticut,4
Indiana,1
Texas,1
Utah,1
Washington,6
Virginia,6
Missouri,2
Nevada,2
South Carolina,1
