unique_values,counts
Texas,15141
California,13942
New York,4920
Virginia,4189
North Carolina,3738
Massachusetts,3104
Pennsylvania,2937
Maryland,2922
Florida,2696
Ohio,2215
Tennessee,1984
New Jersey,1884
Vermont,1751
Georgia,1694
Illinois,1633
Oregon,1578
Washington,1528
Minnesota,1438
Michigan,1398
South Carolina,1184
Colorado,1182
Alabama,1159
Missouri,1012
Wisconsin,897
Delaware,857
Indiana,841
Oklahoma,809
Louisiana,777
Connecticut,758
Maine,700
Kentucky,686
Utah,685
Ontario,606
Arkansas,514
Mississippi,452
Washington D.C.,448
New Hampshire,439
Idaho,404
West Virginia,353
Kansas,333
Iowa,292
Rhode Island,255
Nebraska,254
Arizona,189
Nevada,175
New Mexico,157
British Columbia,153
Montana,151
North Dakota,145
South Dakota,136
Alberta,127
Wyoming,79
Manitoba,76
Saskatchewan,72
Quebec,49
