,name,shap_index
0,Harmonia_axyridis_18,1.8759943021774292
1,Coccinella_septempunctata_18,0.8306260751008987
2,Cinclus_mexicanus_18,0.7127544534683228
3,Hippodamia_convergens_18,0.37347277509719135
4,Coccinella_novemnotata_18,0.3544390911281109
5,Eremophila_alpestris_18,0.2516469002455473
6,Coelophora_maculata_18,0.2216946511015296
7,Hippodamia_parenthesis_18,0.18820566307306288
9,Lanius_ludovicianus_18,0.17292091409265994
8,Calcarius_lapponicus_18,0.1400934898905456
11,Olla_vnigrum_18,0.07595618755966425
10,Centronyx_henslowii_18,0.044029044585675
12,Rhynchophanes_mccownii_18,0.02147591656856239
13,Calcarius_ornatus_18,0.018972064428776504
14,Hippodamia_caseyi_18,0.014244650425761939
